[-20.0,-10.0]
[-30.0,40.0]
[-10.0,60.0]
[50.0,10.0]
[30.0,-15.0]
[-20.77831841418154,-6.108407929092294]
[-26.708708499767134,23.543542498835677]
[-20.93719560804016,-5.314021959799206]
[-22.352678221586665,1.7633911079333302]
[-22.59334012666529,2.9667006333264396]
[-25.556480297777405,44.443519702222595]
[-22.21381323865675,47.786186761343245]
[-13.255600868414398,56.7443991315856]
[-16.30893686552576,53.69106313447424]
[-17.79369013275256,52.20630986724744]
[3.923643615088629,48.39696365409281]
[-5.941434809037376,56.61786234086448]
[17.31283569578607,37.23930358684494]
[38.33476360783165,19.721030326806957]
[32.69304540568914,24.42246216192571]
[38.405249706907355,-4.493437866365809]
[44.136997967502786,2.6712474593784847]
[34.895188481180924,-8.881014398523845]
[44.601340424418524,3.2516755305231584]
[30.25499279773009,-14.681259002837386]
[29.681878760467725,-14.968187876046773]
[-16.98010519753279,-10.301989480246721]
[4.161848351982446,-12.416184835198244]
[-17.626897925658234,-10.237310207434177]
[9.506290255237204,-12.950629025523721]
[2.0,27.0]
[14.0,22.0]
[2.0,6.0]
[27.0,24.0]
[19.0,29.0]
[9.0,0.0]
[21.0,7.0]
[15.0,12.0]
[20.0,27.0]
[15.0,17.0]
[11.0,17.0]
[3.0,11.0]
[2.0,27.0]
[26.0,28.0]
[19.0,7.0]
[9.0,18.0]
[19.0,7.0]
[4.0,20.0]
[6.0,0.0]
[5.0,29.0]
